Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Iran,2020-03-31,41495,512.33,13911.0,2757,0.06644174,,,0,0
Iran,2020-04-01,44606,550.74,14656.0,2898,0.06496883827287807,,,3111,141
Iran,2020-04-02,47593,587.62,15473.0,3036,0.06379089361880949,,,2987,138
Iran,2020-04-03,50468,623.12,16711.0,3160,0.06261393358167552,,,2875,124
Iran,2020-04-07,60500,726.02,24236.0,3739,0.061801652892561974,,,10032,579
Iran,2020-04-10,67286,807.45,32309.0,4110,0.06108254317391434,,,6786,371
Iran,2020-04-11,68192,818.33,35465.0,4232,0.06206006569685594,,,906,122
Iran,2020-04-12,70029,840.37,41947.0,4357,0.062217081494809284,,,1837,125
Iran,2020-04-14,73303,879.66,45983.0,4585,0.06254859964803622,,,3274,228
Iran,2020-04-17,77995,935.97,52229.0,4869,0.062427078658888385,,,4692,284
Iran,2020-04-18,79494,953.95,54064.0,4958,0.062369487005308574,,,1499,89
Iran,2020-04-20,82211,986.56,57023.0,5118,0.06225444283611682,,,2717,160
Iran,2020-04-22,84802,1017.65,60965.0,5297,0.062463149454022315,,,2591,179
Iran,2020-04-23,85996,1031.98,63113.0,5391,0.06268896227731523,,,1194,94
Iran,2020-04-24,87026,1044.34,64843.0,5481,0.06298117803874705,,,1030,90
Iran,2020-04-25,88194,1058.36,66596.0,5574,0.0632015783386625,,,1168,93
Iran,2020-04-26,89328,1071.97,68193.0,5650,0.06325004477879276,,,1134,76
Iran,2020-04-27,90481,1085.8,69657.0,5710,0.06310717167140062,,,1153,60
Iran,2020-04-28,91472,1097.69,70933.0,5806,0.06347297533671506,,,991,96
Iran,2020-04-29,92584,1111.04,72439.0,5877,0.063477490711138,,,1112,71
Iran,2020-04-30,92584,1111.04,72439.0,5877,0.063477490711138,,,0,0
Iran,2020-05-01,94640,1136.0,75103.0,6028,0.06369399830938292,,,2056,151
Iran,2020-05-02,95646,1148.0,76318.0,6091,0.06368274679547498,,,1006,63
Iran,2020-05-03,96448,1157.0,77350.0,6156,0.0638271400132714,,,802,65
Iran,2020-05-04,97424,1169.0,78422.0,6203,0.06367014288060438,,,976,47
Iran,2020-05-05,98647,1184.0,79379.0,6277,0.06363092643466096,,,1223,74
Iran,2020-05-06,99970,1200.0,80475.0,6340,0.06341902570771231,,,1323,63
Iran,2020-05-07,101650,1220.0,81587.0,6418,0.06313821938022626,,,1680,78
Iran,2020-05-08,103135,1238.0,82744.0,6486,0.06288844718087944,,,1485,68
Iran,2020-05-09,104691,1256.0,83837.0,6541,0.062479105176185164,,,1556,55
Iran,2020-05-10,106220,1275.0,86064.0,6589,0.06203163246093015,,,1529,48
Iran,2020-05-11,107603,1291.0,86143.0,6640,0.061708316682620376,,,1383,51
Iran,2020-05-12,109286,1311.0,87422.0,6685,0.06116977471954323,,,1683,45
Iran,2020-05-13,110767,1329.0,88357.0,6733,0.060785251925212384,,,1481,48
Iran,2020-05-15,114533,1374.0,90539.0,6854,0.05984301467699265,,,3766,121
Iran,2020-05-16,116635,1400.0,91836.0,6902,0.059176062073991516,,,2102,48
Iran,2020-05-17,118392,1421.0,93147.0,6937,0.058593486046354476,,,1757,35
Iran,2020-05-18,120198,1442.0,94464.0,6988,0.05813740661242284,,,1806,51
Iran,2020-05-19,122492,1470.0,95661.0,7057,0.057611925676778884,,,2294,69
Iran,2020-05-20,124603,1495.0,97173.0,7119,0.057133455855798015,,,2111,62
Iran,2020-05-21,126949,1523.0,98808.0,7183,0.05658177693404438,,,2346,64
Iran,2020-05-22,129341,1552.0,100564.0,7249,0.056045646778670334,,,2392,66
Iran,2020-05-23,131652,1580.0,102276.0,7300,0.05544921459605627,,,2311,51
Iran,2020-05-24,133521,1602.0,104072.0,7359,0.055114925742018116,,,1869,59
Iran,2020-05-25,135701,1628.0,105801.0,7417,0.054656929573105584,,,2180,58
Iran,2020-05-26,137724,1653.0,107713.0,7451,0.054100955534256916,,,2023,34
Iran,2020-05-27,139511,1674.0,109437.0,7508,0.05381654493194085,,,1787,57
Iran,2020-05-28,141591,1699.0,111176.0,7564,0.0534214745287483,,,2080,56
Iran,2020-05-29,143849,1726.0,112988.0,7627,0.05302087605753255,,,2258,63
Iran,2020-05-30,146668,1760.0,114931.0,7677,0.05234270597540022,,,2819,50
Iran,2020-05-31,148950,1787.0,116827.0,7734,0.05192346424974824,,,2282,57
Iran,2020-06-01,151466,1818.0,118848.0,7797,0.051476899106070007,,,2516,63
Iran,2020-06-02,154445,1853.0,121004.0,7878,0.05100844960989349,,,2979,81
Iran,2020-06-03,157562,1891.0,123077.0,7942,0.0504,,,3117,64
Iran,2020-06-04,160696,1928.0,125206.0,8012,0.0499,,,3134,70
Iran,2020-06-05,164270,1971.0,127485.0,8071,0.0491,,,3574,59
Iran,2020-06-06,167156,2006.0,129741.0,8134,0.0487,,,2886,63
Iran,2020-06-07,169425,2033.0,132038.0,8209,0.0485,,,2269,75
Iran,2020-06-08,171789,2062.0,134349.0,8281,0.0482,,,2364,72
Iran,2020-06-09,173832,2086.0,136360.0,8351,0.048,,,2043,70
Iran,2020-06-10,175927,2111.0,138457.0,8425,0.0479,,,2095,74
Iran,2020-06-12,180156,2162.0,142663.0,8584,0.0476,,,4229,159
Iran,2020-06-13,182545,2191.0,144649.0,8659,0.0474,,,2389,75
Iran,2020-06-14,184955,2220.0,146748.0,8730,0.0472,,,2410,71
Iran,2020-06-15,187427,2249.0,148674.0,8837,0.0471,,,2472,107
Iran,2020-06-16,189876,2279.0,150590.0,8950,0.0471,,,2449,113
Iran,2020-06-17,192439,2309.0,152675.0,9065,0.0471,,,2563,115
Iran,2020-06-18,195051,2341.0,154812.0,9065,0.0465,,,2612,0
Iran,2020-06-19,197647,2372.0,156991.0,9272,0.0469,,,2596,207
Iran,2020-06-20,200262,2403.0,159192.0,9392,0.0469,,,2615,120
Iran,2020-06-21,202584,2431.0,161384.0,9507,0.0469,,,2322,115
Iran,2020-06-22,204952,2459.0,163591.0,9623,0.047,,,2368,116
Iran,2020-06-23,207525,2490.0,166427.0,9742,0.0469,,,2573,119
Iran,2020-06-24,209970,2520.0,169160.0,9863,0.047,,,2445,121
Iran,2020-06-25,212501,2550.0,172096.0,9996,0.047,,,2531,133
Iran,2020-06-26,215096,2581.0,175103.0,10130,0.0471,,,2595,134
Iran,2020-06-27,217724,2613.0,177852.0,10239,0.047,,,2628,109
Iran,2020-06-28,220180,2642.0,180661.0,10369,0.0471,,,2456,130
Iran,2020-06-29,222669,2672.0,183310.0,10508,0.0472,,,2489,139
Iran,2020-06-30,225205,2703.0,186180.0,10670,0.0474,,,2536,162
